"Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A,Flows"
"172.16.89.7,49412,""172.16.15.3"",7680,5,330,51,5,330,0,0,6.728812,15.034440000000002,175,0,0"
"172.16.89.129,59848,""172.16.15.3"",7680,3,198,98,3,198,0,0,16.592631,6.013469999999998,263,0,0"
"172.16.89.140,59901,""172.16.15.3"",7680,3,198,97,3,198,0,0,16.56716,3.0130339999999975,525,0,0"
"172.16.89.166,62093,""172.16.15.3"",7680,1,66,56,1,66,0,0,7.560033,0,"""","""",0"
"172.16.96.25,64518,""172.16.15.3"",7680,3,198,94,3,198,0,0,15.639223,3.015680999999999,525,0,0"
"172.16.96.101,63087,""172.16.15.145"",7680,1,66,29,1,66,0,0,4.375325,0,"""","""",0"
"172.16.96.109,60768,""172.16.15.83"",7680,4,264,6,4,264,0,0,0.45015,14.02957,150,0,0"
"172.16.96.121,64694,""172.16.15.145"",7680,4,264,92,4,264,0,0,13.981847,7.032780000000001,300,0,0"
"172.16.96.141,58980,""172.16.15.83"",7680,1,66,33,1,66,0,0,4.724483,0,"""","""",0"
"172.16.96.145,54096,""172.16.15.3"",7680,5,330,16,5,330,0,0,1.649059,15.037414,175,0,0"
"172.16.96.152,56218,""172.16.15.40"",7680,1,66,44,1,66,0,0,6.203307,0,"""","""",0"
"172.16.96.154,52442,""172.16.15.9"",7680,1,66,104,1,66,0,0,21.674382,0,"""","""",0"
"172.16.97.123,50897,""172.16.15.3"",7680,3,198,0,3,198,0,0,0,12.017441,131,0,0"
"172.16.97.126,49423,""172.16.15.3"",7680,2,132,96,2,132,0,0,16.310324,1.0027369999999998,1053,0,0"
"172.16.97.150,63959,""172.16.15.3"",7680,1,66,107,1,66,0,0,22.898927,0,"""","""",0"
"172.16.97.159,61924,""172.16.15.3"",7680,3,198,62,3,198,0,0,9.029984,7.010085999999999,225,0,0"
"172.16.97.161,60645,""172.16.15.11"",7680,2,132,21,2,132,0,0,3.190991,8.004954999999999,131,0,0"
"172.16.97.186,51350,""172.16.15.3"",7680,3,198,61,3,198,0,0,8.876923,7.02089,225,0,0"
"172.16.97.198,51133,""172.16.15.3"",7680,4,264,37,4,264,0,0,4.7614090000000004,7.009236999999999,301,0,0"
"172.16.97.231,63281,""172.16.15.3"",7680,5,330,43,5,330,0,0,5.990869,15.035719,175,0,0"
"172.16.97.243,52410,""172.16.15.3"",7680,3,198,85,3,198,0,0,11.210033,3.010904,526,0,0"
