"Address A,Address B,Packets,Bytes,Stream ID,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A"
"172.16.88.11,""172.16.15.3"",4,264,72,4,264,0,0,10.12676,7.024657999999999,300,0"
"172.16.88.39,""172.16.15.3"",5,330,63,5,330,0,0,7.700195,15.048637,175,0"
"172.16.88.41,""172.16.15.123"",4,232,35,2,120,2,112,4.489414,6.114477000000001,157,146"
"172.16.88.63,""172.16.15.3"",1,66,41,1,66,0,0,5.203894,0,"""","""""
"172.16.88.64,""172.16.15.3"",4,264,4,4,264,0,0,0.08348,14.010759,150,0"
"172.16.88.105,""172.16.15.3"",4,264,95,4,264,0,0,11.668811999999999,7.031943999999999,300,0"
"172.16.88.107,""172.16.15.3"",3,198,17,3,198,0,0,1.597978,12.015969,131,0"
"172.16.88.127,""172.16.15.40"",5,330,19,5,330,0,0,2.5321860000000003,15.042425999999999,175,0"
"172.16.88.148,""172.16.15.3"",4,264,100,4,264,0,0,13.304877,7.031864000000001,300,0"
"172.16.89.5,""172.16.15.3"",3,198,7,3,198,0,0,0.406199,12.013603,131,0"
"172.16.89.7,""172.16.15.3"",5,330,56,5,330,0,0,6.728812,15.034440000000002,175,0"
"172.16.89.129,""172.16.15.3"",3,198,110,3,198,0,0,16.592631,6.013469999999998,263,0"
"172.16.89.140,""172.16.15.3"",3,198,109,3,198,0,0,16.56716,3.0130339999999975,525,0"
"172.16.89.166,""172.16.15.3"",1,66,61,1,66,0,0,7.560033,0,"""","""""
"172.16.96.25,""172.16.15.3"",3,198,106,3,198,0,0,15.639223,3.015680999999999,525,0"
"172.16.96.101,""172.16.15.145"",1,66,32,1,66,0,0,4.375325,0,"""","""""
"172.16.96.109,""172.16.15.83"",4,264,8,4,264,0,0,0.45015,14.02957,150,0"
"172.16.96.121,""172.16.15.145"",4,264,103,4,264,0,0,13.981847,7.032780000000001,300,0"
"172.16.96.141,""172.16.15.83"",1,66,36,1,66,0,0,4.724483,0,"""","""""
"172.16.96.145,""172.16.15.3"",5,330,18,5,330,0,0,1.649059,15.037414,175,0"
"172.16.96.152,""172.16.15.40"",1,66,49,1,66,0,0,6.203307,0,"""","""""
"172.16.96.154,""172.16.15.9"",1,66,121,1,66,0,0,21.674382,0,"""","""""
"172.16.97.123,""172.16.15.3"",3,198,0,3,198,0,0,0,12.017441,131,0"
"172.16.97.126,""172.16.15.3"",2,132,108,2,132,0,0,16.310324,1.0027369999999998,1053,0"
"172.16.97.150,""172.16.15.3"",1,66,126,1,66,0,0,22.898927,0,"""","""""
"172.16.97.159,""172.16.15.3"",3,198,70,3,198,0,0,9.029984,7.010085999999999,225,0"
"172.16.97.161,""172.16.15.11"",2,132,23,2,132,0,0,3.190991,8.004954999999999,131,0"
"172.16.97.186,""172.16.15.3"",3,198,69,3,198,0,0,8.876923,7.02089,225,0"
"172.16.97.198,""172.16.15.3"",4,264,39,4,264,0,0,4.7614090000000004,7.009236999999999,301,0"
"172.16.97.231,""172.16.15.3"",5,330,45,5,330,0,0,5.990869,15.035719,175,0"
"172.16.97.243,""172.16.15.3"",3,198,94,3,198,0,0,11.210033,3.010904,526,0"
"172.16.101.59,""224.0.0.252"",2,120,46,2,120,0,0,6.028616,0.016464999999999286,58305,0"
